,Close,SP_close,DJ_close,EU_Price,OF_Price,OS_Price,USDI_Price,PLT_Price,PLD_Price,USB_Price,GDX_Close,USO_Close
Close,1.0,-0.6838830459238047,-0.5880280374510669,0.5804693653166475,0.7102398852494494,0.6301979011770464,-0.7211460791689334,0.7753635090542591,-0.2137168297814883,-0.44172651563238396,0.9754849195255608,0.634935169952818
SP_close,-0.6838830459238047,1.0,0.9869205973195667,-0.5483364180276503,-0.6239161027081986,-0.5874437157643444,0.6914166991686758,-0.8566904009999472,0.7043606162451571,0.5707377262714286,-0.6933494639160179,-0.7733037617231212
DJ_close,-0.5880280374510669,0.9869205973195667,1.0,-0.4786450938250563,-0.5363907307265441,-0.508156211759189,0.6182340052033485,-0.8117935814223444,0.7722248528392437,0.6075426660292296,-0.6051025425076875,-0.7216369751539705
EU_Price,0.5804693653166475,-0.5483364180276503,-0.4786450938250563,1.0,0.9037439026790054,0.917975762856745,-0.9707821665298122,0.8207807693975694,0.029252157494806336,0.13556195224069498,0.5134666053409794,0.8870381499456416
OF_Price,0.7102398852494494,-0.6239161027081986,-0.5363907307265441,0.9037439026790054,1.0,0.9863841529812726,-0.9325111977577051,0.8681078088378629,-0.014635459727870276,0.09000331798199158,0.6739322168289354,0.9453017755946048
OS_Price,0.6301979011770464,-0.5874437157643444,-0.508156211759189,0.917975762856745,0.9863841529812726,1.0,-0.9248501035117751,0.8436604955936585,0.0012526555037860644,0.15386708507963695,0.5984389021586427,0.9491359566724845
USDI_Price,-0.7211460791689334,0.6914166991686758,0.6182340052033485,-0.9707821665298122,-0.9325111977577051,-0.9248501035117751,1.0,-0.9008678065885368,0.11425100720360798,0.05079609223126444,-0.6675986654074362,-0.9306271638464616
PLT_Price,0.7753635090542591,-0.8566904009999472,-0.8117935814223444,0.8207807693975694,0.8681078088378629,0.8436604955936585,-0.9008678065885368,1.0,-0.32751736980559665,-0.3031736539764734,0.7452162636329298,0.9304661072207103
PLD_Price,-0.2137168297814883,0.7043606162451571,0.7722248528392437,0.029252157494806336,-0.014635459727870276,0.0012526555037860644,0.11425100720360798,-0.32751736980559665,1.0,0.6828683936537518,-0.2650512517427702,-0.21998770459700145
USB_Price,-0.44172651563238396,0.5707377262714286,0.6075426660292296,0.13556195224069498,0.09000331798199158,0.15386708507963695,0.05079609223126444,-0.3031736539764734,0.6828683936537518,1.0,-0.46903071408479036,-0.04747470376702715
GDX_Close,0.9754849195255608,-0.6933494639160179,-0.6051025425076875,0.5134666053409794,0.6739322168289354,0.5984389021586427,-0.6675986654074362,0.7452162636329298,-0.2650512517427702,-0.46903071408479036,1.0,0.6139741072559318
USO_Close,0.634935169952818,-0.7733037617231212,-0.7216369751539705,0.8870381499456416,0.9453017755946048,0.9491359566724845,-0.9306271638464616,0.9304661072207103,-0.21998770459700145,-0.04747470376702715,0.6139741072559318,1.0
