Factor,Column,Correlation,Abs_Correlation,P_Value,Direction,Strength,Significance
Gold_Miners_ETF,GDX_Close,0.9754849195255608,0.9754849195255608,0.0,Positive,Very Strong,Significant
Platinum_Price,PLT_Price,0.7753635090542591,0.7753635090542591,0.0,Positive,Very Strong,Significant
USD_Index,USDI_Price,-0.7211460791689334,0.7211460791689334,1.6228944483012132e-275,Negative,Very Strong,Significant
Oil_Price,OF_Price,0.7102398852494494,0.7102398852494494,1.3495147568326326e-263,Positive,Very Strong,Significant
SP500_Index,SP_close,-0.6838830459238047,0.6838830459238047,5.867808202463029e-237,Negative,Strong,Significant
Oil_ETF,USO_Close,0.634935169952818,0.634935169952818,2.5282135745104086e-194,Positive,Strong,Significant
Silver_Price,OS_Price,0.6301979011770464,0.6301979011770464,1.332677552424297e-190,Positive,Strong,Significant
Dow_Jones_Index,DJ_close,-0.5880280374510669,0.5880280374510669,3.9086683921338574e-160,Negative,Strong,Significant
EUR_USD_Rate,EU_Price,0.5804693653166475,0.5804693653166475,3.879187845224776e-155,Positive,Strong,Significant
US_Bonds,USB_Price,-0.44172651563238396,0.44172651563238396,7.066319701496986e-83,Negative,Moderate,Significant
Palladium_Price,PLD_Price,-0.2137168297814883,0.2137168297814883,3.5454548255882407e-19,Negative,Weak,Significant
