Feature,Type
GDX_Close,Market_Factor
PLT_Price,Market_Factor
USDI_Price,Market_Factor
OF_Price,Market_Factor
SP_close,Market_Factor
USO_Close,Market_Factor
OS_Price,Market_Factor
MA_5,Technical_Indicator
MA_20,Technical_Indicator
MA_60,Technical_Indicator
Price_Change_1d,Technical_Indicator
Price_Change_5d,Technical_Indicator
Price_Change_20d,Technical_Indicator
Return_1d,Technical_Indicator
Return_5d,Technical_Indicator
Return_20d,Technical_Indicator
Volatility_20d,Technical_Indicator
RSI_14,Technical_Indicator
Close_lag_1,Technical_Indicator
Close_lag_2,Technical_Indicator
Close_lag_3,Technical_Indicator
Close_lag_5,Technical_Indicator
Close_lag_10,Technical_Indicator
Close_rolling_mean_5,Technical_Indicator
Close_rolling_std_5,Technical_Indicator
Close_rolling_min_5,Technical_Indicator
Close_rolling_max_5,Technical_Indicator
Close_rolling_mean_10,Technical_Indicator
Close_rolling_std_10,Technical_Indicator
Close_rolling_min_10,Technical_Indicator
Close_rolling_max_10,Technical_Indicator
Close_rolling_mean_20,Technical_Indicator
Close_rolling_std_20,Technical_Indicator
Close_rolling_min_20,Technical_Indicator
Close_rolling_max_20,Technical_Indicator
