model,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,train_mape,test_mape,overfitting
linear_regression,1.0,1.0,7.373798070613999e-14,2.8456747507522263e-14,5.0224183152572954e-14,2.2858907749124275e-14,3.885560824296399e-14,1.9476843060928155e-14,0.0
random_forest,0.9998943104569766,0.9999836675500255,0.1519023595939479,0.019130192131774786,0.03406957227518294,0.014766702749037136,0.025536604169806663,0.012325221138893722,-8.935709304891404e-05
ridge_regression,0.999992477657934,0.9999737357200983,0.040525189021293546,0.02425919651400308,0.029468307286324817,0.01888441826433404,0.023865821788528647,0.015673063897747346,1.8741937835686784e-05
extra_trees,1.0,0.9999702114262762,1.7744755115897176e-13,0.025835598001909352,1.5347254473960943e-13,0.0195881310526305,1.229494346279177e-13,0.016404479670359278,2.9788573723821266e-05
svr_linear,0.9999720408783193,0.9999059673634758,0.07812864136460855,0.04590214389969606,0.057118582820460985,0.03606562743877731,0.04625799367520818,0.029951540474194596,6.607351484344548e-05
lasso_regression,0.999959107366562,0.999853984323425,0.09448678017207378,0.05719965456902391,0.06509612758717555,0.04541814133451576,0.053000787480422244,0.03783132123903248,0.00010512304313703424
svr_rbf,0.9997255566404356,0.9996237674990318,0.24477940430275516,0.09181672930441828,0.1357397543493646,0.07113694484211958,0.10643048322025919,0.05938195496713156,0.00010178914140379636
gradient_boosting,0.9999757591278449,0.9994389894442123,0.07274826340077223,0.11211899079877059,0.05572323516568556,0.08499637233697362,0.04584417224509239,0.07076901392812839,0.0005367696836325875
mlp_regressor,0.9909969624013939,0.9790305401090479,1.4019839503919702,0.6854681586714158,0.9713469342572579,0.5227111372897846,0.7674343908925679,0.4322619824588362,0.011966422292346013
elastic_net,0.9884635286778244,0.9671222560868455,1.5870295214095893,0.8583109788304619,1.2525346690124646,0.6816671297811085,1.0082500842264701,0.5680953178182799,0.021341272590978844
